submission_date,issue_description,resolution_date,priority_level,ticket_status
11/11/2024,Issue syncing sales data from ERP into robotics supply chain dashboard.,11/19/2024,Medium,Closed - Resolved
2/9/2025,Battery drain accelerating on self-navigating picker botsclient requests hardware review.,2/14/2025,High,On Hold
6/9/2024,Customer account flagged as inactive during quarterly synccontract still in force until Q4.,6/15/2024,Urgent,Closed
12/6/2024,Delivery tracking API pushing duplicate status updatescausing client-side UI clutter.,12/11/2024,Medium,Cancelled
3/11/2025,Pick path optimization feature stuck in recalculating looplikely route matrix bug.,3/12/2025,Medium,Open
8/11/2024,Custom firmware deployment not stickingdevice reverts to factory version after reboot.,8/20/2024,High,In Progress
12/23/2024,Mobile control app crashing after recent OS updatecompatibility fix required.,1/2/2025,Low,Closed - Resolved
3/9/2025,Temperature-controlled arm not holding cold-pack products steadilyactuator lag suspected.,3/19/2025,Urgent,On Hold
11/17/2024,Heat map of robotic traffic not loading for West Coast territoryvisualization component broken.,11/20/2024,Low,Closed
1/18/2025,Service report PDF not attaching to customer CRM recordautomation flow broken.,1/20/2025,Medium,Closed - Resolved
12/13/2024,Order #98234 missing firmware version 5.3 for XYZ Series actuatorrequires urgent patch.,12/23/2024,High,Cancelled
12/31/2024,Issue syncing sales data from ERP into robotics supply chain dashboard.,1/9/2025,Medium,Open
4/5/2025,Return unit not accepting scanned QR codesoptical reader needs recalibration.,4/9/2025,High,Open
1/5/2025,Armature alignment reset required after shippingrequesting field calibration.,1/11/2025,High,Closed
5/18/2024,Delivery tracking API pushing duplicate status updatescausing client-side UI clutter.,5/26/2024,Urgent,Closed - Resolved
2/10/2025,License expiration alerts not appearing for client adminmonitoring system inactive.,2/12/2025,High,On Hold
6/9/2024,Inventory report mislabeling robotics model numbersSKU logic misfire.,6/16/2024,Medium,Closed
7/21/2024,Customer unable to access remote diagnostics via mobile portalauthentication token not refreshing.,7/31/2024,High,Closed - Resolved
11/16/2024,Mobile control app crashing after recent OS updatecompatibility fix required.,11/20/2024,Low,Cancelled
5/1/2024,Feedback loop delay causing robotic palletizer to miss timing sync with conveyor belt.,5/7/2024,Medium,Open
4/2/2025,Battery health metrics not populating in regional dashboardtelemetry stream missing.,4/6/2025,High,In Progress
8/25/2024,Latest patch rolled out to wrong robot model familyrollback request submitted.,9/1/2024,Low,Cancelled
4/28/2024,API returning null values for order tracking endpointbackend request timing out.,5/7/2024,High,On Hold
4/14/2025,Data not syncing across international locationstimezone setting discrepancies confirmed.,4/20/2025,Medium,Open
10/6/2024,Night shift override not deactivating during scheduled switchlogic conflict in script.,10/10/2024,Urgent,Closed - Resolved
7/9/2024,Technician override mode triggering false alarmsUI miscommunication suspected.,7/12/2024,Medium,In Progress
12/4/2024,Picking robot skipping assigned aisle in optimization routemap index might be corrupted.,12/9/2024,Urgent,Closed - Resolved
1/16/2025,Suction cup gripper losing pressure after 12 cyclescheck vacuum seal integrity.,1/25/2025,Low,Closed
2/23/2025,Temperature-controlled arm not holding cold-pack products steadilyactuator lag suspected.,2/24/2025,Medium,Cancelled
12/7/2024,Customer reports robotic forklift overshooting dock alignmentcamera offset suspected.,12/16/2024,High,Closed - Resolved
2/26/2025,Autonomous floor units reporting repeated LIDAR misreads in low-light conditions.,3/4/2025,Medium,Open
12/21/2024,Label printer on packing bot jamming intermittentlyhardware service request opened.,12/30/2024,High,In Progress
1/28/2025,Temperature sensor in robotic soldering unit reading above safe operating range.,2/4/2025,High,On Hold
10/15/2024,Customer unable to submit service ticket via mobile portalUI issue on latest Android version.,10/23/2024,Medium,Closed
8/3/2024,LED status indicator stuck in red despite system running normallyvisual false positive?,8/4/2024,Urgent,Closed - Resolved
5/18/2024,Customer states predictive maintenance alert was missedpossible alert suppression rule.,5/20/2024,Medium,Closed - Resolved
6/12/2024,AI co-pilot interface displaying outdated warehouse inventory despite live API integration.,6/21/2024,High,In Progress
12/25/2024,System audit flagging unauthorized access attempt on robotics control API.,1/3/2025,Low,Closed - Resolved
1/1/2025,Idle time tracking for warehouse units not logging correctlytelemetry data gap.,1/4/2025,High,Closed
9/28/2024,Diagnostic tool unable to communicate with legacy hardwareadapter may be required.,9/29/2024,Low,Cancelled
5/4/2024,Automated welding arm intermittently halts during high-heat cyclessuspected sensor calibration drift.,5/13/2024,Medium,On Hold
8/29/2024,Heat map of robotic traffic not loading for West Coast territoryvisualization component broken.,8/30/2024,Urgent,Open
6/16/2024,Battery drain accelerating on self-navigating picker botsclient requests hardware review.,6/18/2024,High,Closed - Resolved
4/23/2024,Unexpected stop condition triggered during pallet rewrap routineinvestigating fault codes.,4/30/2024,Medium,Cancelled
11/12/2024,Repeated '404 device not found' error on support dashboardbelieved to be ID mismatch.,11/17/2024,High,Open
11/14/2024,Return unit not accepting scanned QR codesoptical reader needs recalibration.,11/14/2024,Urgent,In Progress
9/7/2024,Navigation system freezing mid-shiftpacket loss observed in Wi-Fi logs.,9/7/2024,Low,Closed - Resolved
9/19/2024,Unable to reset robotic arm to home positionreset protocol fails at step 3.,9/27/2024,Medium,On Hold
12/9/2024,Customer service chatbot incorrectly routing requests about robotic arms to finance.,12/19/2024,Medium,Closed
2/13/2025,Customer account flagged as inactive during quarterly synccontract still in force until Q4.,2/19/2025,High,Closed - Resolved
8/31/2024,Customer reports excessive heat on robotics control panelcooling fan test requested.,9/1/2024,High,Closed - Resolved
7/27/2024,Pick path optimization feature stuck in recalculating looplikely route matrix bug.,7/28/2024,Low,Open
2/12/2025,Inconsistent barcode scanning during inbound sortationrequesting diagnostic logs.,2/18/2025,High,Closed
6/21/2024,Issue syncing sales data from ERP into robotics supply chain dashboard.,6/26/2024,Urgent,In Progress
3/31/2025,Billing dashboard showing duplicate line items for SLA renewalneeds manual reconciliation.,4/8/2025,Medium,Cancelled
12/1/2024,Custom firmware deployment not stickingdevice reverts to factory version after reboot.,12/6/2024,Medium,On Hold
11/3/2024,Support agent unable to replicate power cycling bug reported on new Roboweld Plus series.,11/6/2024,Low,On Hold
6/11/2024,Service report PDF not attaching to customer CRM recordautomation flow broken.,6/18/2024,High,Open
2/17/2025,Order #98234 missing firmware version 5.3 for XYZ Series actuatorrequires urgent patch.,2/22/2025,Medium,Closed - Resolved
9/20/2024,Support team reports double charge on robotic part restockSLA breach inquiry pending.,9/29/2024,Urgent,Closed - Resolved
10/1/2024,Discrepancy between scanned and delivered SKUspotential robotic misclassification event.,10/8/2024,High,Closed
7/6/2024,Product loader mistiming drop-off with downstream conveyorsync pulse missing.,7/9/2024,Medium,In Progress
11/21/2024,Voice command module failing to recognize commands with headset mic input.,12/1/2024,Low,Cancelled
4/29/2024,Downtime incorrectly logged as resolved in dashboardresolution timestamp error.,4/30/2024,High,Cancelled
12/14/2024,Excessive noise reported from robotic jointscustomer suspects lubrication schedule not syncing.,12/21/2024,Medium,Open
2/8/2025,Scheduled maintenance scripts not executing on east region serverslikely time zone mismatch.,2/16/2025,Urgent,Closed - Resolved
11/26/2024,Error 7002: No response from servo motor controller on axis Ypossible hardware failure.,12/5/2024,High,In Progress
4/3/2025,Client unable to archive closed support ticketspermission role misconfiguration.,4/3/2025,Medium,Closed - Resolved
6/9/2024,Armature alignment reset required after shippingrequesting field calibration.,6/13/2024,High,On Hold
6/1/2024,Assembly line pauses when robotic gripper fails to complete handofflog shows force threshold error.,6/4/2024,High,Closed
8/29/2024,New actuator exhibiting slow response in colder environmentsmaterial tolerance concern.,8/30/2024,Urgent,Cancelled
3/31/2025,Task scheduler running duplicate jobs on dual-robot configurationdeadlock conditions observed.,4/7/2025,Low,Open
3/23/2025,Load cell in robotic lifter reading zero under active payloadsuspected cable break.,3/24/2025,Medium,Closed - Resolved
9/13/2024,Remote shutdown of customer system initiated without proper command logpossible logging misfire.,9/23/2024,Medium,In Progress
12/22/2024,Motion sensor fault in entry-level AGVsuspected electromagnetic interference.,12/27/2024,Medium,Closed - Resolved
4/14/2025,Robot arm #4 failed precision test during QAtolerance exceeds threshold by 0.04 mm.,4/15/2025,High,On Hold
10/13/2024,Firmware rollback initiated unintentionallyclient device now stuck in bootloader loop.,10/21/2024,Low,Closed
5/11/2024,High-pitched tone coming from servo in model XR100engineering to review noise profile.,5/16/2024,High,On Hold
11/23/2024,HR database not syncing with shift handoff bot schedulermissing employee record.,12/2/2024,Medium,Closed - Resolved
9/6/2024,Wireless module upgrade caused latency spikepossible firmware mismatch.,9/8/2024,Urgent,Closed - Resolved
7/28/2024,Error 412 triggered during over-the-air update to robotic welding units in Southeast territory.,7/30/2024,Low,Open
3/5/2025,Unexpected motor vibration on high-speed units deployed in humid environments.,3/7/2025,High,Closed
10/16/2024,Overhead robotic crane misaligned after system updaterequesting recalibration walkthrough.,10/24/2024,Urgent,In Progress
5/22/2024,User permissions incorrectly assignedadmin access granted to technician role.,5/24/2024,Medium,Cancelled
8/30/2024,Routine maintenance tag not updating in system despite completionworkflow integration error.,9/8/2024,Medium,Closed
9/22/2024,3D vision system under-picking SKUs from top shelvesimage recognition needs retraining.,9/27/2024,High,Cancelled
1/2/2025,Custom firmware deployment not stickingdevice reverts to factory version after reboot.,1/3/2025,Medium,On Hold
7/2/2024,Support agent unable to replicate power cycling bug reported on new Roboweld Plus series.,7/9/2024,High,Open
9/26/2024,Service report PDF not attaching to customer CRM recordautomation flow broken.,9/30/2024,Urgent,Closed - Resolved
11/19/2024,Order #98234 missing firmware version 5.3 for XYZ Series actuatorrequires urgent patch.,11/24/2024,Low,In Progress
4/23/2024,Support team reports double charge on robotic part restockSLA breach inquiry pending.,4/30/2024,Medium,Closed - Resolved
12/29/2024,Discrepancy between scanned and delivered SKUspotential robotic misclassification event.,1/2/2025,High,Open
2/17/2025,Product loader mistiming drop-off with downstream conveyorsync pulse missing.,2/20/2025,Low,Closed - Resolved
11/30/2024,Voice command module failing to recognize commands with headset mic input.,12/8/2024,High,Closed - Resolved
12/27/2024,Downtime incorrectly logged as resolved in dashboardresolution timestamp error.,12/31/2024,Medium,Closed
12/8/2024,Excessive noise reported from robotic jointscustomer suspects lubrication schedule not syncing.,12/10/2024,Urgent,In Progress
6/14/2024,Scheduled maintenance scripts not executing on east region serverslikely time zone mismatch.,6/21/2024,High,Cancelled
7/6/2024,Error 7002: No response from servo motor controller on axis Ypossible hardware failure.,7/12/2024,Medium,On Hold
11/17/2024,Client unable to archive closed support ticketspermission role misconfiguration.,11/23/2024,Medium,Closed
1/26/2025,Armature alignment reset required after shippingrequesting field calibration.,1/29/2025,Medium,Closed - Resolved
5/3/2024,Assembly line pauses when robotic gripper fails to complete handofflog shows force threshold error.,5/4/2024,High,Cancelled
7/17/2024,New actuator exhibiting slow response in colder environmentsmaterial tolerance concern.,7/24/2024,High,Closed - Resolved
6/16/2024,Task scheduler running duplicate jobs on dual-robot configurationdeadlock conditions observed.,6/18/2024,Urgent,Open
4/12/2025,Load cell in robotic lifter reading zero under active payloadsuspected cable break.,4/21/2025,Low,In Progress
8/17/2024,Remote shutdown of customer system initiated without proper command logpossible logging misfire.,8/17/2024,High,On Hold
12/12/2024,Motion sensor fault in entry-level AGVsuspected electromagnetic interference.,12/20/2024,Low,Cancelled
6/16/2024,Robot arm #4 failed precision test during QAtolerance exceeds threshold by 0.04 mm.,6/18/2024,High,Open
8/10/2024,Firmware rollback initiated unintentionallyclient device now stuck in bootloader loop.,8/10/2024,Medium,Closed - Resolved
4/5/2025,High-pitched tone coming from servo in model XR100engineering to review noise profile.,4/7/2025,Urgent,In Progress
5/13/2024,HR database not syncing with shift handoff bot schedulermissing employee record.,5/22/2024,Medium,Closed - Resolved
11/17/2024,Wireless module upgrade caused latency spikepossible firmware mismatch.,11/19/2024,Low,On Hold
7/8/2024,Error 412 triggered during over-the-air update to robotic welding units in Southeast territory.,7/13/2024,Medium,Closed
11/15/2024,Unexpected motor vibration on high-speed units deployed in humid environments.,11/16/2024,Medium,Closed
1/10/2025,Overhead robotic crane misaligned after system updaterequesting recalibration walkthrough.,1/14/2025,High,In Progress
7/12/2024,User permissions incorrectly assignedadmin access granted to technician role.,7/16/2024,High,Cancelled
7/21/2024,Routine maintenance tag not updating in system despite completionworkflow integration error.,7/29/2024,Urgent,On Hold
3/11/2025,3D vision system under-picking SKUs from top shelvesimage recognition needs retraining.,3/19/2025,Low,Closed - Resolved
4/27/2024,Delivery tracking API pushing duplicate status updatescausing client-side UI clutter.,5/5/2024,High,Closed - Resolved
3/27/2025,License expiration alerts not appearing for client adminmonitoring system inactive.,3/30/2025,Medium,Open
6/17/2024,Inventory report mislabeling robotics model numbersSKU logic misfire.,6/26/2024,Urgent,Cancelled
8/28/2024,Customer unable to access remote diagnostics via mobile portalauthentication token not refreshing.,9/7/2024,Medium,On Hold
4/26/2024,Mobile control app crashing after recent OS updatecompatibility fix required.,4/29/2024,High,Open
3/28/2025,Feedback loop delay causing robotic palletizer to miss timing sync with conveyor belt.,4/2/2025,Low,Closed - Resolved
1/11/2025,Battery health metrics not populating in regional dashboardtelemetry stream missing.,1/17/2025,High,In Progress
2/20/2025,Latest patch rolled out to wrong robot model familyrollback request submitted.,2/24/2025,Urgent,Closed - Resolved
4/11/2025,API returning null values for order tracking endpointbackend request timing out.,4/13/2025,Medium,Closed
4/11/2025,Data not syncing across international locationstimezone setting discrepancies confirmed.,4/19/2025,Medium,Open
7/17/2024,Night shift override not deactivating during scheduled switchlogic conflict in script.,7/21/2024,High,Closed
2/8/2025,Technician override mode triggering false alarmsUI miscommunication suspected.,2/15/2025,Medium,In Progress
